Ecoregions;Insect_LCBD;SumNat_PFC;Habitat_Heterogeneity;Pred_LCBD_Insect;lower_LCBD_Insect;upperr_LCBD_Insect
XER;0.001509178;0.895854746;1.301;-10.00272987;-10.28363222;-9.721827525
XER;0.001047553;0.989464802;1.302;-10.00271126;-10.28361466;-9.721807859
WMT;0.001068727;1.072533273;1.303;-10.00269265;-10.28359711;-9.72178819
SAP;0.000699212;0.875619756;1.308;-10.00259959;-10.28350938;-9.721689797
SAP;0.00098714;0.971668015;1.311;-10.00254375;-10.28345678;-9.721630723
SAP;0.000720801;0.953431757;1.312;-10.00252514;-10.28343926;-9.721611025
SAP;0.000920154;0.953431757;1.313;-10.00250653;-10.28342173;-9.721591324
CPL;0.0009235;1.056650275;1.319;-10.00239486;-10.28331666;-9.721473051
UMW;0.000725325;1.175068282;1.323;-10.00232041;-10.28324668;-9.721394138
WMT;0.001395391;1.366725329;1.334;-10.00211568;-10.28305449;-9.721176864
SAP;0.001348124;0.915550072;1.335;-10.00209707;-10.28303704;-9.721157092
WMT;0.001216881;1.175068282;1.344;-10.00192956;-10.28288011;-9.720979006
CPL;0.000759598;1.188619689;1.345;-10.00191095;-10.28286269;-9.720959202
NAP;0.001011516;1.265087684;1.346;-10.00189234;-10.28284528;-9.720939396
XER;0.001367964;1.323269799;1.347;-10.00187372;-10.28282786;-9.720919586
CPL;0.000848809;1.006842803;1.353;-10.00176205;-10.28272345;-9.72080066
TPL;0.000975989;0.934733772;1.356;-10.00170622;-10.28267128;-9.720741154
SAP;0.000738431;1.161263564;1.357;-10.00168761;-10.2826539;-9.720721312
WMT;0.000867871;1.356098801;1.36;-10.00163177;-10.28260177;-9.720661768
WMT;0.001280168;1.006842803;1.361;-10.00161316;-10.2825844;-9.720641913
SAP;0.000907897;1.132855025;1.363;-10.00157593;-10.28254967;-9.720602194
NAP;0.000733798;1.147195883;1.367;-10.00150149;-10.28248025;-9.720522719
TPL;0.000758639;0.663157646;1.371;-10.00142704;-10.28241089;-9.720443191
TPL;0.00129074;0.663157646;1.377;-10.00131537;-10.28230693;-9.720323805
TPL;0.000983658;0.674018591;1.382;-10.00122231;-10.28222039;-9.720224228
WMT;0.001041525;0.971668015;1.387;-10.00112925;-10.28213392;-9.720124572
TPL;0.000788984;1.103309848;1.388;-10.00111064;-10.28211664;-9.720104631
SAP;0.00159238;1.454492845;1.389;-10.00109202;-10.28209936;-9.720084687
NAP;0.000732038;0.985939588;1.392;-10.00103619;-10.28204754;-9.720024835
NAP;0.001098053;1.118230172;1.398;-10.00092452;-10.28194399;-9.719905046
TPL;0.000744139;1.023821273;1.406;-10.00077562;-10.28180609;-9.719745148
WMT;0.001011121;1.209424753;1.408;-10.0007384;-10.28177165;-9.719705141
