Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
SAP;33;1.454492845;1.389;5.550343558;5.399048815;5.7016383
NAP;21;0.985939588;1.392;5.553568635;5.402008235;5.705129034
NAP;13;1.118230172;1.398;5.560018789;5.407922767;5.71211481
TPL;12;1.023821273;1.406;5.568618994;5.415799963;5.721438024
WMT;29;1.209424753;1.408;5.570769045;5.417767698;5.723770392
TPL;14;1.214998598;1.417;5.580444276;5.426614844;5.734273707
NAP;46;1.161263564;1.418;5.581519301;5.427597092;5.735441511
SAP;34;0.811359163;1.425;5.589044481;5.434468573;5.743620389
SAP;45;0.788633341;1.427;5.591194532;5.436430493;5.745958571
WMT;36;1.040418172;1.437;5.601944788;5.44623113;5.757658447
NPL;23;1.247733705;1.447;5.612695045;5.456017029;5.76937306
WMT;32;1.282725539;1.454;5.620220224;5.462858534;5.777581915
WMT;48;1.211001127;1.456;5.622370276;5.46481196;5.779928591
SAP;15;0.854814692;1.463;5.629895455;5.471644486;5.788146424
NPL;30;1.072533273;1.465;5.632045506;5.473595368;5.790495645
UMW;7;0.715932301;1.475;5.642795763;5.48334143;5.802250096
SAP;33;1.103309848;1.484;5.652470993;5.492101142;5.812840845
NAP;28;1.147195883;1.493;5.662146224;5.500849927;5.823442522
NAP;38;1.072533273;1.494;5.66322125;5.501821348;5.824621152
NAP;33;1.300543977;1.501;5.670746429;5.508617601;5.832875257
WMT;30;1.288913328;1.51;5.68042166;5.517346253;5.843497068
WMT;37;0.989464802;1.514;5.684721763;5.521222306;5.848221219
NAP;33;1.300543977;1.519;5.690096891;5.526064511;5.854129271
TPL;25;0.663157646;;;;
UMW;46;0.690016276;;;;
NAP;24;1.300543977;;;;
SAP;11;1.175068282;;;;
SAP;28;1.175068282;;;;
UMW;29;1.088081867;;;;
SAP;43;1.311994299;;;;
WMT;44;1.345317136;;;;
TPL;13;1.407765383;;;;
WMT;30;1.387530393;;;;
SAP;9;1.188619689;;;;
SAP;16;1.214998598;;;;
SAP;19;1.006842803;;;;
UMW;26;0.859022857;;;;
UMW;35;1.214998598;;;;
SAP;40;1.323269799;;;;
WMT;53;1.118230172;;;;
WMT;45;1.277096581;;;;
TPL;13;0.635285246;;;;
TPL;18;0.971668015;;;;
CPL;25;0.811359163;;;;
WMT;29;0.895854746;;;;
XER;15;1.072533273;;;;
WMT;41;1.240467706;;;;
NAP;21;0.989464803;;;;
WMT;40;1.417678699;;;;
TPL;29;0.477554166;;;;
TPL;18;0.854814692;;;;
CPL;19;0.915550072;;;;
CPL;28;0.765185945;;;;
NAP;41;1.103309848;;;;
SAP;20;1.170953893;;;;
NAP;43;1.397717188;;;;
SAP;45;1.040418172;;;;
SAP;56;1.214998598;;;;
NAP;33;1.040418172;;;;
NAP;49;1.118230173;;;;
CPL;37;0.971668015;;;;
SAP;43;1.023821273;;;;
TPL;31;1.161263564;;;;
CPL;4;0.934733772;;;;
WMT;68;1.240467706;;;;
NAP;46;0.788633341;;;;
NAP;47;1.086982044;;;;
CPL;28;0.989464802;;;;
NAP;37;1.103309848;;;;
UMW;9;1.056650275;;;;
TPL;19;0.915550072;;;;
TPL;7;1.118230173;;;;
UMW;29;1.040418172;;;;
UMW;13;0.971668015;;;;
NAP;44;1.20082709;;;;
SAP;41;0.765185945;;;;
WMT;33;1.416693334;;;;
SAP;37;0.788633341;;;;
WMT;20;1.214998598;;;;
CPL;27;0.833406499;;;;
NPL;32;0.788633341;;;;
CPL;28;1.132855026;;;;
NAP;54;0.953431756;;;;
TPL;24;1.446644409;;;;
SPL;1;0.934733772;;;;
SAP;49;1.023821273;;;;
NAP;34;1.302464735;;;;
TPL;26;0.57617123;;;;
TPL;4;0.788633341;;;;
WMT;32;1.18051872;;;;
WMT;51;1.417678699;;;;
TPL;11;1.175068282;;;;
TPL;4;1.103309848;;;;
CPL;28;0.953431757;;;;
SAP;43;0.44152112;;;;
TPL;37;0.477554166;;;;
XER;31;0.663157646;;;;
SAP;57;1.175068282;;;;
TPL;22;0.989464802;;;;
UMW;23;0.544739638;;;;
UMW;22;0.915550072;;;;
CPL;25;1.110807689;;;;
CPL;5;1.110807689;;;;
CPL;16;0.971668015;;;;
WMT;35;0.971668015;;;;
NAP;18;0.989464802;;;;
NAP;19;0.854814692;;;;
XER;22;1.265087683;;;;
NAP;33;1.427460708;;;;
NAP;35;1.265087683;;;;
WMT;49;1.311994299;;;;
WMT;16;0.934733772;;;;
SAP;41;0.915550072;;;;
SAP;21;0.953431757;;;;
SAP;15;0.715932301;;;;
TPL;15;0.36370912;;;;
TPL;6;0.064260594;;;;
UMW;10;0.788633341;;;;
UMW;2;0.562864007;;;;
XER;27;1.201926913;;;;
SAP;54;0.606319536;;;;
SAP;33;1.147195883;;;;
SAP;53;1.161263564;;;;
CPL;58;1.161263564;;;;
SAP;16;1.006842803;;;;
SPL;22;1.356098801;;;;
WMT;23;0.971668015;;;;
WMT;16;0.740969646;;;;
SAP;29;1.161263564;;;;
CPL;5;1.023821273;;;;
CPL;39;1.288913328;;;;
WMT;31;0.875619756;;;;
