Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
SAP;0.000879532;0.788633341;1.209;-9.948743694;-10.2842805;-9.61320689
TPL;0.00107756;1.056650275;1.211;-9.947984212;-10.28354143;-9.612426999
SAP;0.000768252;0.663157646;1.212;-9.947604471;-10.28317195;-9.61203699
SAP;0.000916823;0.915550072;1.213;-9.947224731;-10.28280252;-9.611646938
SAP;0.000767883;1.147195883;1.215;-9.946465249;-10.28206379;-9.610866706
SAP;0.000265303;0.854814692;1.218;-9.945326026;-10.28095601;-9.609696039
SAP;0.000911636;0.915550072;1.221;-9.944186803;-10.27984862;-9.60852499
SAP;0.001091581;1.040418172;1.225;-9.942667839;-10.27837268;-9.606962996
UMW;0.000958641;1.188619689;1.226;-9.942288098;-10.27800381;-9.606572391
NAP;0.000878824;1.446644409;1.227;-9.941908358;-10.27763497;-9.606181744
NAP;0.001582142;1.204851791;1.228;-9.941528617;-10.27726618;-9.605791054
WMT;0.001111929;0.854814692;1.232;-9.940009653;-10.27579144;-9.60422787
NAP;0.00105281;1.023821273;1.233;-9.939629912;-10.27542286;-9.603836968
SAP;0.001516501;0.690016276;1.234;-9.939250171;-10.27505432;-9.603446023
SAP;0.001339387;1.288913328;1.236;-9.938490689;-10.27431737;-9.602664007
CPL;0.000790657;1.023821273;1.238;-9.937731207;-10.27358059;-9.60188182
CPL;0.001391553;0.715932302;1.239;-9.937351466;-10.27321227;-9.601490663
TPL;0.001326666;1.040418172;1.24;-9.936971726;-10.27284399;-9.601099464
WMT;0.001739528;1.382383815;1.242;-9.936212244;-10.27210755;-9.600316938
NAP;0.000691027;0.953431757;1.243;-9.935832503;-10.27173939;-9.599925612
NAP;0.000692461;0.715932302;1.245;-9.935073021;-10.27100321;-9.599142831
UMW;0.001057621;1.132855025;1.248;-9.933933798;-10.26989925;-9.597968342
UMW;0.001360023;1.166816454;1.249;-9.933554057;-10.26953135;-9.597576761
CPL;0.001763475;0.875619756;1.252;-9.932414834;-10.2684279;-9.596401764
CPL;0.001013491;1.072533273;1.253;-9.932035094;-10.26806017;-9.596010013
CPL;0.001108068;0.934733772;1.254;-9.931655353;-10.26769248;-9.59561822
WMT;0.001770865;1.118230173;1.255;-9.931275612;-10.26732484;-9.595226385
SAP;0.001554567;1.161263564;1.257;-9.93051613;-10.26658967;-9.594442587
TPL;0.000701572;0.576171231;1.259;-9.929756648;-10.26585468;-9.59365862
TPL;0.00120637;1.240467706;1.261;-9.928997166;-10.26511985;-9.592874484
UMW;0.000910246;0.854814692;1.263;-9.928237684;-10.26438519;-9.592090178
XER;0.000485133;0.765185945;1.264;-9.927857943;-10.26401793;-9.591697961
