Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
WMT;3.60E-05;1.181187542;1.293;-9.624169402;-9.896292807;-9.352045997
NPL;0.001236825;0.69360959;1.294;-9.623072913;-9.895230816;-9.350915009
NPL;0.001670971;0.859266207;1.296;-9.620879934;-9.893107147;-9.348652721
NPL;0.001254173;1.259404755;1.299;-9.617590465;-9.889922424;-9.345258507
WMT;0.000967936;1.283747162;1.305;-9.611011528;-9.883555786;-9.33846727
WMT;0.0010153;1.289405433;1.307;-9.608818549;-9.881434404;-9.336202694
NPL;0.001934509;1.341324603;1.309;-9.60662557;-9.879313437;-9.333937703
NPL;0.001394916;1.153169995;1.31;-9.60552908;-9.878253109;-9.332805052
NPL;0.00176981;0.744828304;1.318;-9.596757164;-9.86977421;-9.323740118
WMT;0.00210153;1.415096431;1.319;-9.595660674;-9.868714813;-9.322606536
WMT;0.001602624;1.012086015;1.32;-9.594564185;-9.867655519;-9.321472851
NPL;0.002200991;1.463635081;1.33;-9.583599289;-9.857068247;-9.310130332
NPL;0.0019654;0.744828303;1.341;-9.571537905;-9.845434113;-9.297641696
TPL;0.001694792;1.181187542;1.342;-9.570441415;-9.844377079;-9.296505751
TPL;0.002065493;0.90051998;1.351;-9.560573009;-9.834868368;-9.28627765
NPL;0.001766473;1.10905542;1.352;-9.55947652;-9.833812354;-9.285140685
NPL;0.001780997;0.443820376;1.353;-9.55838003;-9.832756442;-9.284003618
TPL;0.001877233;0.680233068;1.355;-9.556187051;-9.830644923;-9.281729179
NPL;0.000480621;1.029152902;1.36;-9.550704603;-9.825367904;-9.276041302
NPL;0.001419729;0.994617518;1.363;-9.547415135;-9.82220291;-9.272627359
NPL;0.000426324;0.90051998;1.367;-9.543029177;-9.817984336;-9.268074018
NPL;0.001544889;0.792740211;1.369;-9.540836198;-9.815875655;-9.26579674
NPL;0.001174544;0.939601471;1.37;-9.539739708;-9.814821466;-9.26465795
NPL;0.001294839;0.976728052;1.374;-9.53535375;-9.81060572;-9.260101779
NPL;0.001859696;0.744828304;1.378;-9.530967792;-9.806391587;-9.255543997
NPL;0.00186047;1.093748138;1.384;-9.524388855;-9.800073403;-9.248704306
NPL;0.001825863;1.10905542;1.389;-9.518906407;-9.794811008;-9.243001806
NPL;0.00122384;0.547576413;1.39;-9.517809917;-9.793758829;-9.241861006
TPL;0.000629654;1.062152864;1.394;-9.513423959;-9.789551114;-9.237296804
NPL;0.001946386;1.045836231;1.395;-9.51232747;-9.788499435;-9.236155504
TPL;0.001912992;0.859266207;1.396;-9.51123098;-9.787447856;-9.235014105
NPL;0.001522233;0.815584379;1.399;-9.507941511;-9.784293716;-9.231589307
NPL;0.00052112;1.029152903;1.405;-9.501362574;-9.777988123;-9.224737026
NPL;0.001593957;0.920317871;1.415;-9.490397679;-9.767486737;-9.21330862
TPL;0.001528749;0.994617518;1.425;-9.479432784;-9.756995229;-9.201870338
NPL;0.001587648;1.138754457;1.435;-9.468467888;-9.746513549;-9.190422228
NPL;0.001862927;0.609476993;1.445;-9.457502993;-9.736041643;-9.178964342
TPL;0.001733494;0.709349619;1.454;-9.447634587;-9.726625244;-9.16864393
NPL;0.001864586;0.609476993;1.462;-9.438862671;-9.718261693;-9.159463648
NPL;0.001824604;0.487077867;1.464;-9.436669692;-9.71617177;-9.157167613
NPL;0.001821546;0.837746529;1.471;-9.428994265;-9.708860067;-9.149128463
TPL;0.001892034;0.704139935;1.473;-9.426801286;-9.706771872;-9.146830699
NPL;0.000715185;0.92031787;1.482;-9.41693288;-9.697379731;-9.136486028
NPL;0.001916994;0.769170711;1.491;-9.407064474;-9.687995307;-9.126133641
NPL;0.001667188;0.842100658;1.501;-9.396099579;-9.677577171;-9.114621986
TPL;0.001868727;0.579171687;1.509;-9.387327662;-9.669249449;-9.105405876
TPL;0.001758416;0.79274021;1.518;-9.377459257;-9.659887935;-9.095030578
SPL;0.00104095;1.21478499;1.527;-9.367590851;-9.650533976;-9.084647726
SPL;0.00165358;0.744828303;;;;
NPL;0.000662935;1.283747161;;;;
SPL;0.001911679;0.815584379;;;;
SPL;0.001991841;0.638593544;;;;
SPL;0.001816606;0.994617518;;;;
NPL;0.001709326;0.976728052;;;;
SPL;0.0009338;1.045836231;;;;
SPL;0.001386276;1.045836231;;;;
SPL;0.00182784;0.666611092;;;;
SPL;0.001762607;1.051286322;;;;
NPL;0.001712627;0.880179615;;;;
SPL;0.001802728;1.109055421;;;;
NPL;0.000396265;0.837746529;;;;
TPL;0.001540371;0.514576452;;;;
NAP;0.001900637;0.976728052;;;;
NAP;0.002000466;0.744828304;;;;
NAP;0.001929701;1.093748138;;;;
NAP;0.001893946;1.137297387;;;;
NAP;0.001889923;0.837746529;;;;
NAP;0.00195598;1.012086015;;;;
NAP;0.001772405;0.79274021;;;;
NAP;0.001910385;0.880179615;;;;
NAP;0.001984408;0.880179615;;;;
NAP;0.001076926;0.994617518;;;;
SAP;0.000496708;0.69360959;;;;
SAP;0.001756257;1.062152864;;;;
SAP;0.001503642;1.138754457;;;;
SAP;0.002030194;1.029152902;;;;
