Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
WMT;44;1.124053444;;;;
WMT;102;0.638593544;;;;
WMT;11;0.875006236;;;;
WMT;10;0.976728052;;;;
WMT;16;0.779363688;;;;
WMT;90;0.939601472;;;;
WMT;18;1.246927538;;;;
WMT;8;0.930022282;;;;
WMT;45;0.859266207;;;;
WMT;18;1.124053444;;;;
WMT;83;0.744828304;;;;
WMT;128;1.062152864;;;;
NAP;248;1.153169995;;;;
SAP;196;1.219151926;;;;
SAP;224;1.167310935;;;;
NAP;258;0.719660575;;;;
SAP;732;1.246927538;;;;
SAP;124;1.137297386;;;;
NAP;158;0.939601471;;;;
NAP;1335;0.638593544;;;;
TPL;178;0.638593544;;;;
TPL;148;0.443820376;;;;
TPL;38;0.994617518;;;;
SAP;509;0.930022282;;;;
TPL;549;0.920317871;;;;
TPL;829;0.815584379;;;;
TPL;854;0.69360959;;;;
TPL;611;0.90051998;;;;
TPL;479;0.976728052;;;;
TPL;217;0.815584379;;;;
TPL;114;0.638593544;;;;
TPL;263;0.480041067;;;;
TPL;163;0.547576413;;;;
CPL;583;1.307316662;;;;
UMW;519;0.958396827;;;;
UMW;503;0.90051998;;;;
UMW;213;1.259404755;;;;
UMW;273;1.259404755;;;;
UMW;306;1.318826611;;;;
SAP;220;1.078118573;;;;
SAP;90;0.480041067;;;;
NPL;540;0.443820376;;;;
NPL;385;0.638593544;;;;
TPL;1216;1.045836231;;;;
TPL;564;1.137297387;;;;
SPL;251;0.480041067;;;;
SPL;47;0.27816376;;;;
SPL;12;0.79274021;;;;
SPL;5;1.093748138;;;;
SPL;120;1.208186041;;;;
SPL;201;1.35232298;;;;
XER;39;1.208186041;;;;
XER;237;0.880179615;;;;
SPL;207;1.208186041;;;;
